compound,AP,count
ACAT inhibitor,0.0006554604356413823,15
AKT inhibitor,0.11183536185999393,25
ALK tyrosine kinase receptor inhibitor,0.0042666196724015,20
ATP channel blocker,0.003144239099336449,15
ATPase inhibitor,0.01811063869015394,15
Aurora kinase inhibitor,0.18489615160706915,30
BCL inhibitor,0.06993954307860961,15
Bcr-Abl kinase inhibitor,-0.00021592846150741176,10
Bruton's tyrosine kinase (BTK) inhibitor,0.008733156594561366,15
CC chemokine receptor antagonist,0.0005075000068804859,32
CCK receptor antagonist,-0.0001316428235121299,10
CDK inhibitor,0.2586390327434723,40
CFTR channel agonist,0.0002763470602987236,10
DNA alkylating agent,0.014473787949805004,25
DNA directed DNA polymerase inhibitor,0.023154726610603044,14
DNA inhibitor,0.01651606192880919,40
DNA methyltransferase inhibitor,0.0008545513609173735,10
DNA polymerase inhibitor,0.002953964710189095,24
DNA synthesis inhibitor,0.006582994047142335,20
EGFR inhibitor,0.03684862047401918,75
EGFR inhibitor/protein tyrosine kinase inhibitor,0.00017738051997904535,10
FGFR inhibitor/PDGFR tyrosine kinase receptor inhibitor/VEGFR inhibitor,-0.000244996378998653,9
FGFR inhibitor/VEGFR inhibitor,0.004219454781707466,15
GABA receptor antagonist,0.026618948566873822,10
GABA receptor modulator,0.11177248554303715,15
HCV inhibitor,0.003925529401152535,39
HDAC inhibitor,0.29614462490788085,59
HIV integrase inhibitor,0.0016689185970363903,14
HIV protease inhibitor,0.00617852603379011,27
HMGCR inhibitor,0.060110013806695124,25
HSP inhibitor,0.9945596248363929,22
JAK inhibitor,0.07049218806955454,30
KIT inhibitor/PDGFR tyrosine kinase receptor inhibitor/VEGFR inhibitor,0.0005706751914187706,10
MDM inhibitor,0.8051784814578882,10
MEK inhibitor,0.8267547978480109,48
NFkB pathway inhibitor,0.002987565022495975,20
O6-alkylguanine-DNA alkyltransferase inhibitor,0.00039495616995804614,10
P glycoprotein inhibitor,0.006171129481673647,10
PARP inhibitor,0.02898643940164822,19
PI3K inhibitor,0.012532584231759418,38
PKC inhibitor,0.0009856647570788044,20
PLK inhibitor,0.2547747844931141,25
PPAR receptor agonist,0.00257907975725321,24
Pim kinase inhibitor,-0.0002626194715403173,10
RAF inhibitor,0.018150599312146316,22
RNA polymerase inhibitor,0.0026599196030644965,25
T-type calcium channel blocker,0.003826946654468126,10
TGF beta receptor inhibitor,0.0017253363263159559,15
TRPV antagonist,0.0018450722796467672,10
VEGFR inhibitor,0.0055337557076646764,19
XIAP inhibitor,0.014649634180888955,15
acetylcholine receptor agonist,0.005436073279149058,34
acetylcholine receptor antagonist,0.007453294909259407,63
acetylcholine release enhancer,-0.0002777742463465339,10
acetylcholinesterase inhibitor,0.0015919193830771308,14
adenosine receptor agonist,-3.2317530252691855e-05,9
adenosine receptor antagonist,0.005752618106699722,18
adenylyl cyclase activator,0.001686712724075993,10
adrenergic inhibitor,-0.00010714582710285525,10
adrenergic receptor agonist,0.006764922044273596,76
adrenergic receptor antagonist,0.009316792666558684,104
alcohol dehydrogenase inhibitor,0.0017622742520409132,10
aldose reductase inhibitor,0.009679000461027612,10
androgen receptor antagonist,0.008171010247561413,30
androgen receptor modulator,0.006824005695604093,22
angiogenesis inhibitor,0.0032412180954874774,15
angiogenesis inhibitor/tumor necrosis factor production inhibitor,0.0008786877199433581,9
angiotensin converting enzyme inhibitor,0.005445422691153781,43
angiotensin receptor antagonist,0.025437003401874284,29
anthelmintic agent,0.0091118403235237,10
antimalarial agent,-0.00029638891395047777,10
antithyroid agent,5.093526089463607e-05,10
aromatase inhibitor,0.007307552155041232,20
bacterial 50S ribosomal subunit inhibitor,0.9454406914700982,10
bacterial DNA gyrase inhibitor,0.0004185923889238231,31
bacterial antifolate,0.0008720399147950818,10
bacterial cell wall synthesis inhibitor,0.002039992793662668,41
