,Features,Correlation
930,Cytoplasm.Cytoplasm_Correlation_K_Mito_DNA,-0.51575
439,Cells.Cells_Intensity_MeanIntensityEdge_DNA,-0.494
829,Cells.Cells_Correlation_Overlap_Mito_RNA,-0.48575
1309,Cytoplasm.Cytoplasm_Intensity_MeanIntensityEdge_DNA,-0.483
764,Cells.Cells_RadialDistribution_MeanFrac_Mito_4of4,-0.47450000000000003
682,Cytoplasm.Cytoplasm_Correlation_Overlap_Mito_RNA,-0.47375
813,Cytoplasm.Cytoplasm_Correlation_K_Mito_AGP,-0.46525000000000005
919,Cytoplasm.Cytoplasm_Correlation_Manders_Brightfield_Mito,-0.46175
467,Cells.Cells_Correlation_Manders_Brightfield_Mito,-0.46175
381,Cells.Cells_Correlation_Overlap_AGP_Brightfield,-0.4605
544,Cytoplasm.Cytoplasm_Correlation_Manders_RNA_Mito,-0.45949999999999996
181,Cytoplasm.Cytoplasm_Correlation_Manders_ER_Mito,-0.45925
42,Cytoplasm.Cytoplasm_Correlation_Manders_AGP_Mito,-0.459
916,Cells.Cells_Correlation_Manders_ER_Mito,-0.45849999999999996
246,Cells.Cells_Correlation_Manders_RNA_Mito,-0.45825
587,Cytoplasm.Cytoplasm_Correlation_K_Mito_RNA,-0.45775
751,Cells.Cells_Correlation_Manders_AGP_Mito,-0.45775
510,Cytoplasm.Cytoplasm_Correlation_Manders_DNA_Mito,-0.457
186,Cells.Cells_Correlation_K_Mito_AGP,-0.45325000000000004
72,Cytoplasm.Cytoplasm_Intensity_UpperQuartileIntensity_DNA,-0.4505
